ID_Lugar,Lugar,Latitud,Longitud,Clasificación,País_Contemporáneo,Notas
LID154,Girón,7.067620,-73.169436,Municipio,Colombia,null
LID155,Guaca,6.875673,-72.856196,Municipio,Colombia,null
LID156,Guacamayas,6.460175,-72.501134,Municipio,Colombia,null
LID157,Guachetá,5.385008,-73.685896,Municipio,Colombia,null
LID158,Guadalupe,6.246793,-73.418196,Municipio,Colombia,null
LID159,Guaduas,5.067499,-74.595070,Municipio,Colombia,null
LID160,Guagua,2.86048,75.43582,Cambio histórico,Colombia,Posiblemente Huila
LID161,Guaímaro,10.580795855740899,-74.71361303354516,Sitio espesifíco,Colombia,null
LID162,Guamanga,-13.164716875853198,-74.22251823734638,Municipio,Perú,Hoy Ayacucho
LID163,Guamo,4.031717,-74.970839,Municipio,Colombia,null
LID164,Guamoco,8.294658757149135,-74.47456983087277,Cambio histórico,Colombia,"Hoy Vereda de Montecristo, Bolivar"
LID165,Guasca,4.866614,-73.877676,Municipio,Colombia,null
LID166,Guatavita,4.935195,-73.835376,Municipio,Colombia,null
LID167,Guateque,5.006257,-73.473174,Municipio,Colombia,null
LID168,Guatoque,5.713341269251888,-73.60232062740656,Cambio histórico,Colombia,Hoy Santa Sofía
LID169,Guayabal,5.027955433236788,-74.888832296019,Cambio histórico,Colombia,Hoy Armero
LID170,Guayabito,6.442979768998412,-73.33814504312986,Sitio espesifíco,Colombia,"Posiblemente Simacota, ya que hay un rio Guayabito allí"
LID171,Guayaquil,-2.190031,-79.887737,Municipio,Ecuador,null
LID172,Güepsa,6.025468,-73.572462,Municipio,Colombia,null
LID173,Guicán,6.461722,-72.411893,Municipio,Colombia,null
LID174,Hatogrande,4.80873,-73.58118,Municipio,Colombia,null
LID175,Hatoviejo,10.30407,-75.03874,Cambio histórico,Colombia,"Hoy Bello, Antioquia"
LID176,Honda,5.203977,-74.736992,Municipio,Colombia,null
LID177,Ibagué,4.444747,-75.243013,Municipio,Colombia,null
LID178,Ibarra,0.351443,-78.119627,Municipio,Ecuador,null
LID179,Icabocu,5.221455372028563,-73.45708463860325,Cambio histórico,Colombia,Hoy Úmbita
LID180,Itagüí,6.168287,-75.619097,Municipio,Colombia,null
LID181,Iza,5.612362,-72.979584,Municipio,Colombia,null
LID182,La Chorrera,8.883669809521853,-79.77258679632773,Municipio,Panamá,null
LID183,La Cruz,1.600914,-76.971767,Municipio,Colombia,null
LID184,La Culebra,7.77421039362526,-72.8133486866943,Sitio espesifíco,Colombia,"Posiblemente bajo la jurisdiccion de Salazar de las Palmas, por lo cual se ubica allí. "
