"ID_Caso","ID_Documento","Descripción","Código","Sub_Código","Año","Lugar","Especificaciones","Source","crimen","subcrimen"
"1232","1232A","Causa que le hizo seguir a Antonio Díaz, el Maestre de Campo, Luis Chacón Luna, atribuyendole varios delitos, de los cuales fue absuelto el acusado y condenado en costas el mencionado Chacón Luna.","33",,"1728","Vélez","Ambiguos","AGNSC.19623444-4961232A","Ambiguos","Delitos"
"1233","1233A","Petición judicial del Maestre de Campo Luis CHacón de luna, relativa a indagatoriar, testigo sobre los motines populares que ocurrieron en vélez, a causa de los cuales él se hallaba preso.","25","25.1","1742","Vélez","Decisión metodológica","AGNSC.19345433-4441233A","Sublevación","Sublevación"
"1233","1233B","Petición judicial del Maestre de Campo Luis CHacón de luna, relativa a indagatoriar, testigo sobre los motines populares que ocurrieron en vélez, a causa de los cuales él se hallaba preso.","28","28.1","1742","Vélez","Códigos señalados","AGNSC.19345433-4441233B","Tipo de documento diferente a sumario ","Peticiones y solicitudes"
"1234","1234A","Juicio que se le siguió a Ignacio Martín Nieto de Paz, por irrespetos a Roque María Estengo, alcalde de San Gil.","16","16.1","1765","San Gil","Decisión metodológica","AGNSC.19624497-5511234A","Injuria","Injuria"
"1235","1235A","Causa seguida por el alcalde del Cerrito, a Juan Estanislao Borrero, por el delito de bestialidad.","13","13.1","1793","Cerrito","Decisión metodológica","AGNSC.19626585-6491235A","Bestialidad","Bestialidad"
"1236","1236A","Sumario instruido por Cristóbal Santiago Galeano Cáceres y Enciso, alcalde de Puente Real, a Agustín Cristóbal Naranjo, por robo de ganado.","20","20.1","1743","Puente Real","Decisión metodológica","AGNSC.19627650-6541236A","Robo","Robo"
"1237","1237A","Demanda de Cristóbal de Villamil contra Bartolomé González de Noriega, alcalde de San Gil, por atropellos y parcialidad en resolver la demanda de Villamil, por ultrajes a su hijo, contra Francisco de Afanador.","16","16.1","1716","San Gil","Decisión metodológica","AGNSC.19628655-7581237A","Injuria","Injuria"
"1237","1237B","Demanda de Cristóbal de Villamil contra Bartolomé González de Noriega, alcalde de San Gil, por atropellos y parcialidad en resolver la demanda de Villamil, por ultrajes a su hijo, contra Francisco de Afanador.","24","24.1","1716","San Gil","Decisión metodológica","AGNSC.19628655-7581237B","Mala praxis de abogados","Jueces cuestionables"
"1238","1238A","Causa seguida salvador y Francisco Coronel, por el asesinato de Enrique Sidraes.","1","1.1","1803","Ocaña","Decisión metodológica","AGNSC.19629759-8631238A","Homicidio","Homicidio"
"1239","1239A","Sumario instruido por Cayetano Tavera, alcalde de Oiba, a Luis de Heredia, por amancibamiento con Antonia Fonseca.","10","10.1","1801","Oiba","Decisión metodológica","AGNSC.196210864-8931239A","Concubinato","Concubinato"
"123","123A","Causa seguida a Baltazar Martínez y sus hijos por hurtos en la hacienda de ""Tuta"".","20","20.1","1791","Tunja","Perfectos","AGNSC.195281001-1010123A","Robo","Robo"
"1240","1240A","Narciso García, recusa a Fermín Dionisio de Amado, Teniente Corregidor de Pamplona, en la causa por heridas hechas a García, seguida a Bernardo José Sánchez Osorio, compadre y concuñado del mencionado funcionario.","4","4.1","1767","Pamplona","Decisión metodológica","AGNSC.196211894-8971240A","Violencia","Heridas"
