ID_Caso,ID_Crímen,Descripción
109,109A,"Causa que se le siguió a Vicente Apolinar, a quien se le atribuyó la **destrucción de una casulla** de la capilla de la cárcel de Santafé"
110,110A,"Demanda de Catalina Bermúdez contra Juan de Roa, platero, **por un dinero** que éste ganó a su marido."
111,111A,"Causa seguida a Juan de Tena, por **desacatos **a Francisco Venegas Ponce de León, Alguacil de la Real Audiencia."
112,112A,"Sumario instruído a Agustín Lugo, por **desobediencia **a Francisco Barrios, Alcalde de Beltrán."
113,113A,"Causa criminal seguida a José Antonio Rincón y cómplices, por el **homicidio **de Atanasio Silva, verificado en la tienda de Maria Delgadillo, calle de los “Chorrilos"""
114,114A,"Diligencias judiciales practicadas en averiguación de los autores del **robo **hecho a Miguel de Neira, en la casa de Petronila y Bárbara Bernal, situada en la calle de ""San Felipe"""
115,115A,"Información sobre el **adulterio **del magistral Andrés Rosillo con Luisa de Obando, mujer de Francisco Rangel"
115,115B,"El previsor del arzobispado interviene para que se efectúe el divorcio de Francisco Rangel y María Luz Obando, en virtud del sumario instruido por Feliciano Martínez, Alcalde de Simacota, al dicho Rangel, **por delito en que el derecho canónico** impone la disolución de vinculo."
115,115C,"Petición del apoderado de Francisco Rangel, en juicio de divorcio con su consorte, sobre **adulteraciones o enmendaduras de las declaraciones en lo escrito**."
115,115D,"**Petición **del apoderado de Francisco Rangel, en juicio de divorcio con su consorte, sobre adulteraciones o enmendaduras de las declaraciones en lo escrito."
115,115E,"Indagatorias tomadas a petición del interesado, en el juicio de **divorcio **de Francisco Rangel."
115,115F,"Indagatorias tomadas en las pruebas de tachas, a petición del Procurador de Francisco Rangel, en su juicio de divorcio de María de la Luz Obando, su consorte."
115,115G,Indagatorias tomadas en la causa de divorcio de Francisco Rangel y María de la Luz Obando.
115,115H,"Petición de Francisco Rangel en el juicio con su consorte, sobre amancebamiento de ella con el magistrado Andrés Rosillo y Meruelo, de tacha de las declaraciones de determinados testigos e indagatoria de otros."
115,115I,"Declaraciones pedidas por Francisco Rangel, en el juicio de divorcio de su esposa, e indagatorias rendidas."
116,116A,"Asunto referente a la negativa de Santiago Torres, cura de las Nieves, quien **se negó a dar sepultura eclesiástica** al cadáver de Agustín Olivera, y sobre los desafueros de la comunidad franciscana con el difunto."
116,116B,"Asunto referente a la negativa de Santiago Torres, cura de las Nieves, quien se negó a dar sepultura eclesiástica al cadáver de Agustín Olivera, y sobre los **desafueros **de la comunidad franciscana con el difunto."
117,117A,"Francisco Fernández de Palencia se querella criminalmente de Miguel de Aguirre y su consorte, por **hablar mal de la honra** de Ana de Palencia, hija del dicho querellante"
118,118A,"Demanda por **injurias **de José Joaquín Rodríguez Durán y María Josefa Gómez y Polanco, contra Cayetano Fernández"
119,119A,"Sumario instruído por el Alcalde de Tocaima, al soldado Bartolomé López Galarza, por **heridas **causadas a Jacinto Cortés"
120,120A,"Sumario instruido a Juan Gaona por **graves maltratos a** Lugarda Espinosa, **su consorte**"
121,121A,"Causa seguida a Diego Monroy, por **hurtos **y desacatos a las autoridades"
121,121B,"Causa seguida a Diego Monroy, por hurtos y **desacatos **a las autoridades"
122,122A,"Demanda de María Gracias contra José de Gracia y su familia, por **ultrajes de obra **y de palabra"
122,122B,"Demanda de María Gracias contra José de Gracia y su familia, por **ultrajes **de obra y **de palabra**"
123,123A,"Causa seguida a Baltazar Martínez y sus hijos por **hurtos **en la hacienda de ""Tuta""."
124,124A,"**Petición de excarcelación** para Simona Rivera, presentada por Francisco Javier Gómez, su marido, al alcalde de La Mesa de Juan Díaz"
124,124B,"Petición de **excarcelación **para Simona Rivera, presentada por Francisco Javier Gómez, su marido, al alcalde de La Mesa de Juan Díaz"
125,125A,"Demanda de Juan Alvarez de Avilés contra Jacinto Gómez, por **hurto **de algunos objetos sustraídos de la tienda del primeras."
126,126A,Causa criminal seguida a Nicolás de Cárdenas por el **robo **en la iglesia de Copacabana de unos candelabros de plata.
